,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
0,1.FC Heidenheim 1846,Kevin Müller,Goalkeeper,"1,90m",right,"Jun 30, 2027",€1.00m
1,1.FC Heidenheim 1846,Frank Feller,Goalkeeper,"1,83m",right,"Jun 30, 2029",€500k
2,1.FC Heidenheim 1846,Vitus Eicher,Goalkeeper,"1,91m",left,"Jun 30, 2025",€250k
3,1.FC Heidenheim 1846,Paul Tschernuth,Goalkeeper,"1,86m",left,"Jun 30, 2027",€100k
4,1.FC Heidenheim 1846,Benedikt Gimber,Centre-Back,"1,87m",left,"Jun 30, 2028",€3.00m
5,1.FC Heidenheim 1846,Patrick Mainka,Centre-Back,"1,94m",right,"Jun 30, 2027",€3.00m
6,1.FC Heidenheim 1846,Tim Siersleben,Centre-Back,"1,87m",left,"Jun 30, 2026",€1.50m
7,1.FC Heidenheim 1846,Thomas Keller,Centre-Back,"1,86m",right,"Jun 30, 2028",€300k
8,1.FC Heidenheim 1846,Jonas Föhrenbach,Left-Back,"1,84m",left,"Jun 30, 2027",€2.00m
9,1.FC Heidenheim 1846,Omar Traoré,Right-Back,"1,87m",right,"Jun 30, 2026",€4.00m
10,1.FC Heidenheim 1846,Marnon Busch,Right-Back,"1,82m",right,"Jun 30, 2027",€1.20m
11,1.FC Heidenheim 1846,Niklas Dorsch,Defensive Midfield,"1,78m",right,"Jun 30, 2028",€3.50m
12,1.FC Heidenheim 1846,Julian Niehues,Defensive Midfield,"1,95m",right,"Jun 30, 2027",€1.50m
13,1.FC Heidenheim 1846,Luka Janes,Defensive Midfield,"1,83m",right,"Jun 30, 2028",€200k
14,1.FC Heidenheim 1846,Norman Theuerkauf,Defensive Midfield,"1,83m",left,"Jun 30, 2025",€175k
15,1.FC Heidenheim 1846,Jan Schöppner,Central Midfield,"1,90m",right,"Jun 30, 2028",€4.50m
16,1.FC Heidenheim 1846,Luca Kerber,Central Midfield,"1,84m",right,"Jun 30, 2027",€1.30m
17,1.FC Heidenheim 1846,Frans Krätzig,Left Midfield,"1,77m",left,"Jun 30, 2025",€2.00m
18,1.FC Heidenheim 1846,Paul Wanner,Attacking Midfield,"1,85m",left,"Jun 30, 2025",€18.00m
19,1.FC Heidenheim 1846,Adrian Beck,Attacking Midfield,"1,86m",right,"Jun 30, 2028",€2.00m
20,1.FC Heidenheim 1846,Leo Scienza,Left Winger,"1,75m",both,"Jun 30, 2027",€3.00m
21,1.FC Heidenheim 1846,Mathias Honsak,Left Winger,"1,88m",left,"Jun 30, 2027",€1.50m
22,1.FC Heidenheim 1846,Christopher Negele,Left Winger,"1,72m",right,"Jun 30, 2025",€250k
23,1.FC Heidenheim 1846,Sirlord Conteh,Right Winger,"1,78m",right,"Jun 30, 2027",€1.50m
24,1.FC Heidenheim 1846,Marvin Pieringer,Centre-Forward,"1,91m",right,"Jun 30, 2027",€5.50m
25,1.FC Heidenheim 1846,Budu Zivzivadze,Centre-Forward,"1,89m",both,"Jun 30, 2029",€2.50m
26,1.FC Heidenheim 1846,Maximilian Breunig,Centre-Forward,"1,95m",left,"Jun 30, 2027",€2.00m
27,1.FC Heidenheim 1846,Stefan Schimmer,Centre-Forward,"1,85m",right,"Jun 30, 2026",€500k
